伯公▁神▁壇	san4
燒▁鵝▁	ngo2
緊▁抱▁	pou5
戒除▁惡▁習	ok3
隱▁藏▁檔案	cong4
呢隊波今年由甲組▁扽▁咗落乙組。	dan3
鑲▁嵌▁	ham3
環▁繞▁一周	jiu2
▁陳▁府宴客	can4
染上▁疾▁病	zat6
朝▁柄▁	beng3
清▁朝▁	ciu4
呢對夫妻經常因▁為▁小事而口角。	wai6
睇燈▁飾▁	sik1
電▁梯▁門	tai1
意大利▁燉▁飯	dan6
波髧▁髧▁	dam3
顏色暗▁淡▁	daam6
向海嘯死▁難▁者家屬致哀	naan6
抌本宣▁傳▁	cyun4
韞埋自己響屋▁企▁	kei2
政府批准發展商▁興▁建大型屋邨。	hing1
架構▁重▁組	cung4
我剪咗啲▁燶▁葉。	nung1
市場▁萎▁縮	wai2
呢個國家突然宣布自己▁擁▁有核武器。	jung2
港幣壹仟叁▁佰▁叁拾柒圓五毫	baak3
▁追▁巴士	zeoi1
混▁沌▁初開	deon6
職安健▁培▁訓	pui4
▁燂▁香	taam4
雋▁句▁	geoi3
希望警方能夠▁盡▁快將肇事者緝拿歸案。	zeon6
打一場硬▁仗▁	zoeng3
▁散▁佈謠言	saan3
▁假▁花	gaa2
賢妻良▁母▁	mou5
全軍▁覆▁滅	fuk1
你考成點？中中▁挺▁挺啦。	ting5
奶油▁蛋▁糕	daan6
小本▁創▁業	cong3
我哋會密▁切▁留意住事態嘅發展。	cit3
雄心▁壯▁志	zong3
佢因為誹▁謗▁而入罪。	bong3/pong3
防彈玻▁璃▁	lei1
有時善惡嘅分▁別▁只在於一念之間。	bit6
眼▁眶▁慢慢流出淚水。	kwaang1/hong1
為咗揾更加多嘅土地，▁拓▁荒嘅過程係必要嘅。	tok3
▁會▁心微笑	wui6
呢間餐廳嘅▁廚▁子煮嘢冇得彈。	cyu4
我真係睇唔慣佢嗰▁副▁高高在上嘅樣。	fu3
佢會主動幫人▁拎▁重嘢，真係好貼心	ling1
一一▁列▁出	lit6
傳▁福▁音	fuk1
▁裸▁考	lo2
解鎖▁屏▁幕	ping4
討伐董▁卓▁之戰	coek3
腹▁瀉▁	se3
佢唔小心倒▁瀉▁咗杯可樂	se2
榜首同榜尾嘅▁差▁距太大喇。	caa1
劍指▁奧▁運	ou3
老師講完之後，佢即▁刻▁就明喇。	hak1/haak1
無所畏▁懼▁	geoi6
▁奮▁勇抗敵	fan5
▁擴▁闊視野	kwok3/kwong3
▁剿▁匪	ziu2
兩▁棲▁作戰	cai1
手動排▁擋▁	dong3
攻▁鼻▁	bei6
削減▁撥▁款	but6
▁削▁減開支	soek3
恭賀新▁禧▁	hei1
▁徵▁收賦税	zing1
幕▁僚▁	liu4
外戚▁干▁政	gon1
▁捍▁衞學術自由	hon2/hon5
鼠▁輩▁	bui3
大隻騾▁騾▁跌落坑渠	leoi4
不受阻▁撓▁	naau4
好心▁腸▁	coeng4
衣▁著▁老土	zoek3
憑住精▁湛▁演技榮膺最佳男主角	zaam3
▁挑▁戰者	tiu1
盲目崇▁拜▁	baai3
唔好▁溺▁愛啲細路。	nik1
祝你有個▁愉▁快嘅旅程。	jyu6
▁芋▁蓉	wu6
荒廢咗嘅▁耕▁地	gaang1
八▁折▁	zit3
呢度有啲▁平▁價啲嘅選擇。	peng4
空▁襲▁警報	zaap6
冚▁被▁	pei5
▁冚▁家	ham6
天氣▁晴▁朗	cing4
佢希望喺▁呢▁個墓園買一塊墓地。	ni1/nei1
▁墳▁場	fan4
▁墳▁頭	tau4
▁洗▁手	sai2
外置硬▁碟▁	dip2
燒▁衣▁紙	ji1
燒▁菲▁林	fei1
人肉炸▁彈▁	daan2
哎▁吔▁老豆	jaa1
執返起嚿▁垃▁圾	laap6
用冰▁艮▁住傷口	gan3
超新星殘▁骸▁	haai4
松竹▁梅▁	mui4
▁儲▁蓄户口	cyu5
▁儲▁錢	cou5
協調海▁嘯▁嘅救災工作	siu6
用▁剩▁	zing6
▁逆▁向歧視	jik6
▁捉▁實	zok1
▁凸▁多邊形	dat6
全城▁哄▁動	hung3
風▁靡▁全城	mo1
文▁采▁斐然	coi2
有汽▁礦▁泉水	kwong3
▁軚▁盤	taai5/taai3
三手軚▁掉▁頭	diu6
瑪▁麗▁	lai6
戴▁錶▁	biu1
牽▁絆▁	bun6
王▁佐▁之才	zo3
嘉▁峪▁關	jyu6
毀於一▁旦▁	daan3
獨▁仔▁	zai1
回▁鄉▁	hoeng1
墨西哥▁城▁	sing4
磨▁墨▁	mak6
步履▁踉▁蹌	long4
泰▁傭▁	jung4
為上述目的而作出▁適▁當安排	sik1
體制改▁革▁	gaak6
人▁丁▁興旺	ding1
頭腦清▁晰▁	sik1
加▁倍▁努力	pui5
店▁鋪▁出租	pou3
馬▁拉▁盞炒通菜	laai1
輪椅升▁降▁台	gong3
吹▁捧▁	pung2
嗰間舖頭專▁呃▁遊客。	aak1
國際聲▁譽▁	jyu6
公眾設▁施▁	si1
公眾▁殮▁房	lim5
我英文科考試▁僅▁僅合格。	gan2
兩罩燈▁籠▁	lung4
英格蘭超級聯賽積分▁榜▁	bong2
今年最受歡▁迎▁歌曲	jing4
偉人▁傳▁記	zyun6
匡▁扶▁	fu4
群雄▁並▁起	bing6
今年書展依舊人頭▁湧▁湧。	jung2
消滅▁害▁蟲	hoi6
降魔▁伏▁妖	fuk6
一同出▁席▁	zik6
天▁台▁園境	toi2
惡▁劣▁行徑	lyut6
佛▁寺▁住持	zi2
平▁均▁壽命	gwan1
袖▁鈕▁	nau2
▁吐▁血	tou3
香港樓價過去一年嘅▁增▁長速度係史上最高。	zang1
大▁嗌▁口號	aai3
立方▁米▁	mai5
三個▁蘋▁果	ping4
廣東▁省▁	saang2
微▁克▁	hak1/haak1
一年三▁造▁	cou3
▁餿▁臭	suk1
稍等片▁刻▁	hak1/haak1
達官▁要▁人	jiu3
瞓到黃▁朝▁百晏	ziu1
四圍▁揗▁	tan4
▁肘▁關節	zau2
四十▁零▁歲	leng4/leng2/leng1
一所別▁墅▁	seoi6
三▁牲▁酒禮	sang1
▁竄▁改歷史	cyun3/cyun2
臨牀判▁斷▁	dyun6
坦誠▁溝▁通	kau1
▁廟▁務	miu2
▁盒▁裝紙巾	hap6
消▁費▁主義	faai3
▁汀▁九	ding1
換車▁呔▁	taai1
▁了▁咗個心願	liu5
搣▁甩▁煙癮	lat1
真▁皮▁手袋	pei2
肌肉疲▁勞▁	lou4
▁腍▁叉	nam4
一試▁難▁忘	naan4
瞓得好▁稔▁	nam6
▁三▁組同學	saam1
不▁勝▁感激	sing1
兩具▁棺▁材	gun1
曲▁髮▁	faat3
發動▁罷▁工	baa6
安老院▁舍▁	se3/se5
新嘅電話▁聽▁日問世。	ting1
三本▁漫▁畫	maan6
戴頸▁鍊▁	lin2
駛入▁屯▁門公路	tyun4
鴨▁腎▁	san5/san2
郵▁筒▁	tung2
你有冇▁諗▁住買樓？	nam2
抹▁汗▁	hon6
身▁份▁認同	fan2
蝦▁仁▁	jan4
精▁粹▁	seoi5
斬成▁兩▁段	loeng5
良性▁瘤▁	lau2
惡性▁競▁爭	ging3
▁堵▁截源頭	dou2
急到飆▁尿▁	niu6
十字韌帶▁撕▁裂	si1
花旗▁參▁	sam1
討▁厭▁	jim3
唔知如▁何▁自處	ho4
▁淡▁水湖	taam5
衫▁夾▁	gep2/gaap2
紙▁夾▁	gep2/gaap2
合▁浦▁	pou2
▁浦▁東	pou4
親子烹▁飪▁坊	jam6
去▁腥▁	seng1
▁盪▁韆鞦	dong6
橄▁欖▁油	laam2
▁衷▁心感激	cung1
▁銜▁接課程	haam4
慎密嘅考▁慮▁	leoi6
瞓個靚▁覺▁	gaau3
穹▁蒼▁	cong1
拜▁祭▁祖先	zai3
▁倚▁勢	ji2
真漢▁子▁	zi6
你要小心▁看▁管自己嘅財物。	hon1
佢成日糾▁纏▁住佢阿爸阿媽。	cin4
我哋之間嘅矛▁盾▁好難消除。	teon5
文▁人▁雅士	jan4
佢玩巴▁松▁管好叻。	cung4
▁擪▁手	jaap3
▁擪▁尿片	jaap3
擪▁尿▁片	niu6
門▁罅▁	laa3
食塊方包攝下牙罅▁頂▁住先啦。	ding2
天然湖▁泊▁	bok6/pok3
酒精搓手▁液▁	jik6
抬▁轎▁	kiu2
▁佛▁學	fat6
▁車▁馬費	geoi1
升高隻▁車▁	geoi1
▁更▁高層級	gang3
聽人講每日飲檸▁檬▁水會皮膚靚啲。	mung1
呢條公路▁貫▁穿十幾個城市。	gun3
流▁亡▁政府	mong4
神色自▁若▁	joek6
神色▁凝▁重	jing4
愛與恨▁只▁係一線之差。	zi2
▁踩▁水	caai2/jaai2
真係霉髧▁墮▁喇！	doe3
▁鑽▁戒	zyun3
▁摺▁紙	zip3
條▁領▁要漿一漿。	leng5
不忍▁卒▁見	zeot1
▁承▁包建橋工程	sing4
獅▁吼▁	haau1
開▁芡▁	hin3
肉▁排▁	paai2
本護照一定要▁抌▁印㗎。	dam2
特▁許▁工程師	heoi2
打手▁語▁	jyu6
淹▁沒▁	mut6
佢好▁疼▁愛佢隻狗。	tung3
政治改▁革▁	gaak3
胸▁襟▁廣闊	kam1
實現▁夢▁想	mung6
換領新▁咭▁	kaat1
▁乙▁等	jyut6
音樂▁噴▁泉	pan3
休戚▁與▁共	jyu5
倫敦政治經▁濟▁學院	zai3
施展▁魅▁力	mei6
眼▁看▁手勿動	hon3
佢係咁▁啄▁住我。	doeng1
烤▁鴨▁	aap3
擔▁桿▁	gon1
委▁婉▁語	jyun2/wun2
喵▁喵▁聲	meu1
聽從▁命▁令	ming6
苦命▁鴛▁鴦	jin1/jyun1
棄械投▁降▁	hon6
兆▁赫▁	hak1/haak1
兆▁瓦▁	ngaa5
▁漆▁咸圍	cat1
一副▁啤▁牌	pe1
一副麻▁雀▁	zoek2
將呢個步▁驟▁重複噉做。	zaau6
鬼鬼鼠鼠偷番▁薯▁	syu2
▁跨▁代貧窮	kwaa1
老糊▁塗▁	tou4
▁奏▁國歌	zau3
垂死▁掙▁扎	zang1
佢嘅改革▁贏▁得無數嘅贊同。	jeng4
抵▁擋▁	dong2
▁廹▁手指	baak1
塗▁抹▁	mut3
▁抹▁窗	maat3
抹▁地▁	dei6
▁抹▁手	maat3
▁抹▁手紙	mut3
談判破▁裂▁	lit3
▁扎▁染	zaat3
蓮子▁粥▁	zuk1
燒▁烤▁場	haau1
求職陷▁阱▁	zing6/zeng6
跌落▁陷▁阱	ham6/haam6
任▁坐▁	zo2
玻▁璃▁窗	lei1
嚴重罪▁行▁	hang6
▁錫▁我一啖。	sek3
三暗▁坎▁	kaan2
枯▁井▁	zeng2
猜▁謎▁	mai4
撲▁蝶▁	dip6
死▁裏▁逃生	leoi5
節▁省▁開支	saang3
▁攣▁毛頭	lyun1
▁剝▁衫	mok1
港▁澳▁碼頭	ou3
▁哽▁眼	ang2
重▁遊▁故地	jau4
買兩個▁饅▁頭	maan6
白鶴▁洞▁	dung2
燒口炮▁仗▁	zoeng2
海▁旁▁	pong4
隻貓▁抓▁損咗我隻手。	zaau2
幫媽▁咪▁煮飯	mi4
撑開▁把▁遮	baa2
你點都要喺呢個部門留一水▁㗎▁喇。	gaa3/ga3
一頭▁鮑▁	baau1
幾經交▁涉▁	sip3
針▁砭▁時弊	bin2
香港人嘅事▁應▁該由香港人管返。	jing1
把握一▁切▁機會	cai3
睡眼▁惺▁忪	sing1
睡眼惺▁忪▁	sung1
▁褪▁膊	tan3
▁填▁充題	tin4
分▁析▁真句	sik1
串▁串▁貢	cyun3
陽光男▁孩▁	haai4
胭脂▁掃▁	sou2
雞毛▁掃▁	sou2
希臘▁神▁話	san4
一把▁較▁剪	gaau3
一把▁鉸▁剪	gaau3
褲▁襠▁	long6
油▁占▁多	zim1
財運▁亨▁通	hang1
鏽▁漬▁	zik1
上▁孖▁葉	maa1
▁喼▁耳	gip1
用鹽水▁啷▁口	long2
過▁剩▁	sing6
混▁能▁車	nang4
科網泡▁沫▁	mut6
▁摷▁勻	caau3
發展▁蓬▁勃	fung4
▁穀▁飼牛肉	guk1
踢▁毽▁	jin2
嫦娥▁奔▁月	ban1
親家▁奶▁奶	naai4
▁墮▁海	do6
蟻▁躝▁咁慢	laan1
將人質遣▁返▁原地	faan2
海▁峽▁西岸	haap6/hap6
生▁啤▁啤	bi4
▁瘌▁痢頭	laat6/laat3
瘌▁痢▁頭	lei1
▁痢▁疾	lei6
曲學▁阿▁世	o1
舒▁緩▁壓力	wun4
投資債▁券▁	gyun3/hyun3
唔▁使▁旨意	sai2
趣味▁盎▁然	ong3
形成保護▁膜▁	mok2
華▁佗▁再世	to4
海軍上▁將▁	zoeng3
嗰件▁肥▁嘢	fei4
肌肉鬆▁弛▁	ci4
天台酒▁吧▁	baa1
▁吧▁枱	baa1
走▁吧▁。	baa6
頭等車▁卡▁	kaa1
▁媽▁祖閣	maa5
▁媽▁閣廟	maa5
媽閣▁廟▁	miu2
▁廟▁宇	miu6
望▁倒▁後鏡	dou3
總▁冠▁軍	gun3
▁抄▁功課	caau1
消除▁分▁歧	fan1
▁擘▁開個口	maak3
蜘蛛▁俠▁	hap6
浪潮▁迭▁起	dit6
脱▁癦▁	mak2
港產王▁妃▁	fei1
吹牧童▁笛▁	dek2
睇▁跌▁打	tit3
肺▁梗▁塞	gang2
▁泄▁漏公司機密	sit3
鋪▁枱▁布	toi4
▁腎▁氣	san6
視野▁狹▁窄	haap3
經典歌謠▁集▁	zaap6
啲雀仔▁吱▁吱聲咁叫。	zi1
粟米▁羹▁	gang1
佢脈搏▁跳▁動得好快。	tiu3
高低▁槓▁	gong3
▁槓▁桿	gung3
睇穿你▁籠▁嘢	lung2
打▁扮▁時髦	baan6
時髦▁玩▁意	wun6/waan4
人為▁疏▁失	so1
▁姨▁婆太	ji4
▁匿▁埋咗	nei1
路嘅▁盡▁頭	zeon6
上深▁圳▁	zan3
炎▁夏▁	haa6
從大▁局▁着眼	guk6
批走個▁蒂▁	dai3
佢粒▁𢆡▁	nin1
一篤▁屎▁	si2
我腳▁痺▁。	bei3
蝦▁腸▁	coeng2
▁撚▁狗	lan2/nan2
一朵玫▁瑰▁花	gwai3
占▁卜▁問前程	buk1
▁脊▁髓損傷	zek3
清水▁灣▁半島	waan1
友▁誼▁好珍貴。	ji4
▁彌▁留之際	mei4/nei4
▁彌▁敦道	nei4
▁索▁馬里海盜	sok3
▁唯▁一途徑	wai4
懦夫▁剋▁星	hak1/haak1
春天天氣温▁暖▁。	nyun5
嚴禁停▁泊▁車輛	paak3
▁黏▁土	nim1
打倉▁頡▁	kit3
七星▁伴▁月	bun6
裁縫老師▁傅▁	fu2
▁掹▁眉毛	mang1
戴鋼盔行▁騎▁樓底	ke4
高山低▁谷▁	guk1
▁尊▁貴客户	zyun1
東漢▁末▁年	mut6
內部紀律▁處▁分	cyu5/cyu2
靈活運用▁知▁識	zi3/zi1
同有關部門接▁洽▁	hap1
▁啪▁丸仔	baak1
啪▁丸▁仔	jyun2
度身▁定▁做嘅衫	deng6
夠鐘返學▁嘞▁。	laak3
進行地▁毯▁式搜查	zin1
科羅拉多大▁峽▁谷	haap6/hap6
兩性關係▁混▁亂	wan6
呢次地震▁摧▁毀咗無數家園。	ceoi1
發▁掘▁古蹟	gwat6
個賊用把刀▁降▁住我條頸。	hong4
公司▁戳▁	cok1
▁濫▁用職權	laam5/laam6
感慨▁萬▁千	man6
再三囑▁咐▁	fu3
白▁醋▁	cou3
日▁漸▁衰老	zim6
發▁鈔▁權	caau1
寬鞋緊▁襪▁	mat6
▁歪▁曲事實	waai1
攻擊▁伺▁服器	si6
▁捋▁起衫袖	lyut3/lyut6
動量守▁恆▁定律	hang4
動量守▁恒▁定律	hang4
▁吟▁詩	jam4
日▁吟▁夜吟	ngam4
▁烚▁菜	saap6
▁𤆣▁肉	saap6
▁煠▁熟狗頭	saap6
▁熠▁蛋	saap6
▁熠▁熠生輝	jap1
缺血性休▁克▁	hak1/haak1
英▁揆▁	kwai4/kwai5
▁剔▁低本書	tik1
掌▁握▁政權	aak1
傢俬▁舖▁	pou2
受人指▁使▁	si2
香▁芒▁炒雞柳	mong1
中世▁紀▁前期	gei3
▁麥▁田捕手	mak6
波霸珍珠▁奶▁茶	nai5
親▁戚▁朋友	cik1
▁吮▁手指	syun2
包二▁奶▁	naai1
生▁癩▁	laai3
燈芯▁絨▁褲	jung2
▁研▁碎	ngaan4
兩▁疋▁布	pat1
凍▁檸▁茶	ning2
皮膚暗▁啞▁	aa2
蜜糖水可以止▁咳▁同埋舒緩喉嚨痛。	kat1
停車熄▁匙▁	si4
磁力共▁振▁	zan3
高温瑜▁伽▁	gaa1
綠▁化▁都市	faa3
沙▁塵▁滾滾	can4
收取垃▁圾▁處理費	sap3
紅心▁囡▁	neoi1
周身▁癮▁	jan5
對▁仗▁工整	zoeng6
▁撥▁扇	put3
孖指▁矯▁形	giu2
▁綜▁藝節目	zung1/zung3
▁鹿▁鞭	luk6
休▁閒▁活動	haan4
滿▁瀉▁	se2
河水泛▁濫▁	laam6
槍械▁泛▁濫	faan3/faan5
廣▁泛▁	faan6
衣▁冠▁	gun1
▁遵▁循古禮	zeon1
豬柳蛋漢▁堡▁	bou2
大動▁脈▁瓣	mak6
驅除▁病▁魔	beng6
吉▁慶▁圍	hing3
二打▁六▁奀星	luk2
▁奀▁仔	ngan1
交通樞▁紐▁	nau2
國安威▁脅▁	hip3
金禧特▁刊▁	hon1/hon2
雀▁躍▁歡呼	joek6
晨▁禱▁	tou2
坦桑尼亞先▁令▁	ling2
一纊▁褦▁鎖匙	lang3
文件▁夾▁	gep2/gaap2
▁兑▁換服務	deoi3
電▁召▁的士	ziu6
擰▁歪▁面	me2
▁擰▁開	ning2
順▁便▁	bin2
就▁便▁	bin2
為教▁殉▁難	seon1
木▁薯▁粉	syu4
木薯布▁甸▁	din1
白酒煮▁青▁口	ceng1
蒸豆豉▁鯪▁魚	leng4
閒▁暇▁	haa4
多囊卵▁巢▁症	caau4
裝得一手▁好▁逼	hou2
逼▁迫▁	baak1
配售靈灰▁龕▁位	ham1/am1
非法▁勾▁當	ngau1
欲免向▁隅▁	jyu4/jyu6
中▁央▁政府	joeng1
民風淳▁樸▁	pok3
財政緊▁絀▁	zyut3/zyut6
大▁咕▁窿	gu1
衣衫襤▁褸▁	lau5
污▁垢▁	gau3
文學巨▁著▁	zyu3
處理得好▁妥▁當	to5
裝飾▁櫥▁窗	cyu4
▁嗷▁勻	ngou4
▁𢳆▁勻	ngou4
申辦▁奧▁運	ou3
▁斂▁財貪官	lim5
跳▁彈▁牀	daan6
沙▁嗲▁牛肉麪	de1
乍▁驚▁又喜	ging1
布藝梳▁化▁	faa2
天華路天▁頌▁苑頌棋閣	zung6
▁篩▁麪粉	sai1
▁眯▁埋眼	mei1/mi1
搞乜東東▁芫▁茜葱	jim4/jyun4
等餐▁懵▁	mung2
追尋病▁毒▁傳播途徑	duk6
▁攬▁圍裙	laam6
▁御▁前侍衞	jyu6
脱離世俗煩▁囂▁	hiu1
真情▁剖▁白	fau2
蟻▁竇▁	dau3
老實講▁吖▁，⋯	aa1/a1
▁侯▁爵	hau4
▁頒▁獎典禮	baan1
局勢緊▁迫▁	bik1
壟▁斷▁市場	dyun6
憑▁弔▁古蹟	diu3
費盡千▁般▁心思	bun1
粗砂▁糖▁	tong4
油脂分▁泌▁	bei3
甩▁轆▁	luk1
深感抱▁歉▁	hip3
做▁廚▁	cyu2
大▁輋▁峒	ce4
牛記▁笠▁記	lap1
▁選▁修科目	syun2
▁傀▁儡政府	faai3
蝶▁蛹▁	jung2
▁𦧲▁骨	loe1
恩▁澤▁	zaak6
芳踪▁杳▁然	miu5
立法會▁綜▁合大樓	zung1/zung3
驚魂▁甫▁定	pou2
三▁甫▁路	pou3
寶珠▁姨▁	ji1
名▁媛▁淑女	wun4
包▁攬▁訴訟	laam5
走▁捷▁徑	zit6
▁肆▁意破壞	si3
出▁鞘▁	ciu3
▁噶▁廈	gaa1
喀▁什▁噶爾	sap6
▁什▁錦	zaap6
▁什▁麼	sam6
▁黯▁然銷魂	am2
▁黯▁淡	am3
少▁帥▁	seoi3
動物▁胚▁胎	bui1
靚▁溜▁後生哥	lau6
寄▁予▁同情	jyu5
尋▁釁▁滋事	jan6
性命▁難▁保	naan4
大▁妗▁姐	kam5
死心▁塌▁地	taap3
清▁瘀▁血	jyu2
貧▁鈾▁	jau2
包▁糭▁	zung2
▁獼▁猴	mei4/nei4
球季收▁咧▁	lit1
▁膀▁胱炎	pong4
胸▁膛▁	tong4
行人▁隧▁道	seoi6
噴油最好唔喺住▁宅▁區附近進行。	zaak6/zaak2
▁簷▁篷	jim4/jam4/sim4
簷▁篷▁	pung4
躬行實▁踐▁	cin2
欽州街及長沙▁灣▁道交界	waan4
嗰啲茶苦刁刁▁嘅▁。	ge2
▁撐▁龍舟	caang1
▁諒▁必	loeng6
▁鶴▁藪	hok6
▁茲▁證明	zi1
拒絕講佢哋傾▁偈▁嘅內容	gai2
梁山▁泊▁	bok6/pok3
大手▁沽▁空	gu1
安全抵▁埗▁	bou6
收受▁賄▁賂	kui2/fui2
▁隆▁胸手術	lung4
▁遠▁銷海外	jyun5
家世顯▁赫▁	hak1/haak1
宮▁闕▁	kyut3
▁憑▁歌寄意	pang4
獨具▁慧▁眼	wai6
▁皓▁月	hou6
口服補充▁劑▁	zai1
島▁嶼▁	zeoi6/jyu5
大▁嶼▁山	jyu4
▁嶼▁巴	jyu4
認▁叻▁	lek1
靜坐▁冥▁想	ming6
終生▁伴▁侶	bun6
用甕缸▁醃▁榨菜	jip3
▁噚▁晚	cam4
▁屠▁宰	tou4
去海▁傍▁散心	pong4
凍到▁忳▁忳震	tan4
地質▁勘▁探	ham3
洗▁刷▁地板	caat3
兵源充▁足▁	zuk1
低級▁趣▁味	ceoi3
保持中▁立▁	lap6/laap6
吞▁併▁鄰國	ping3
▁剁▁豬肉	doek3
知▁道▁實情	dou3
香▁茜▁	sai1
《香港碑銘▁彙▁編》	wui6
千▁帕▁	paak3
▁畸▁形現象	kei1
同原稿▁校▁對	gaau3
正值▁荳▁蔻年華	dau6
正值荳▁蔻▁年華	kau3
步▁履▁維艱	lei5
好▁些▁少	se1
▁漂▁書節	piu1
▁瞌▁一陣	hap1
和▁韻▁	wan5
南部▁縣▁市	jyun6
奉命▁行▁事	hang4
食雪▁茄▁	gaa1
放紙▁鷂▁	jiu2
我今年運程▁認▁真麻麻。	jing2
▁踩▁油門	caai2/jaai2
巧笑▁倩▁兮	sin3/sin6
特首晤▁哈▁薩克斯坦總理	haa1
打▁撈▁屍體	laau4
▁撈▁飯	lou1
▁撈▁鬆	laau1
打▁唥▁鐘	laang1
你唔好咁▁奄▁尖聲悶。	jim1
你讚緊我定▁挖▁苦緊我呀？	waat3
山貨▁鋪▁	pou2
令人▁咋▁舌	zaa3
▁抿▁磚罅	man2
▁抆▁淚	man2
座▁檯▁風扇	toi2
▁莞▁爾一笑	gun2
大▁嶺▁峒	leng5
鹿湖▁峒▁	dung6
行動敏▁捷▁	zit3
懷憂▁喪▁志	song3
辦▁喪▁事	song1
撐▁艇▁仔	teng2
李▁宅▁	zaak2
一個千載難▁逢▁嘅機會	fung4
梳個蛋▁撻▁頭	taat1
金▁勞▁	lou1
▁紮▁馬尾	zaak3
被▁毆▁	au2
描寫細▁膩▁	nei6
連環車▁禍▁	wo6
搖旗▁吶▁喊	naap6
信▁匣▁	haap2/haap6
▁淤▁血	jyu1/jyu2
一再推▁遲▁	ci4
▁疼▁痛	tang4
▁儘▁早	zeon6
下肢▁癱▁瘓	taan2
因病▁請▁假	ceng2
▁鋸▁木	goe3
牛▁丼▁	dong1
火勢迅速▁蔓▁延	maan6
拆除▁僭▁建物	cim5
水花四▁濺▁	cin2
用泉水▁泡▁茶	paau3
欖▁核▁	wat6
務求盡善▁盡▁美	zeon6
棄甲▁曳▁兵	jai6
好▁曳▁	jai1/jai5
漫▁漫▁長夜	maan4
披▁上▁頸巾	seong5
保安鬆▁懈▁	haai6
身形▁龐▁大	pong4
▁熨▁衫	tong3
吹▁啤▁啤	bi1
人▁嗑▁人	hap6
浴室▁磅▁	bong2
用薑去▁辟▁腥	pik1
好▁籠▁統噉講	lung5
西▁芹▁炒雞柳	kan2
魚肉燒▁賣▁	maai2/maai5
用匙咭▁嘟▁一下	dut1/dyut1
骨灰▁罌▁	aang1
一孖▁臘▁腸	laap6
符▁號▁學入門	hou2
改良土▁壤▁	joeng6
翻▁焯▁舊菜	coek3
社論▁撮▁要	cyut3
甲基乙▁炔▁	kyut3
藍布大▁褂▁	kwaa2
夾▁箸▁菜	zyu6
▁鎝▁起個犯	taap3
加設巡▁邏▁警員	lo4
